editorId,text
ui.mainmenu.hint,"F5 sauvegarde rapide, F9 chargement rapide."
ui.pause.title,Pause
ui.pause.resume,Reprendre
ui.pause.save,Sauvegarder
ui.pause.load,Charger une partie
ui.pause.options,Options
ui.pause.mainmenu,Menu principal
ui.pause.quit,Quitter
ui.wait.title,Attendre
ui.wait.wait1,Attendre 1 heure
ui.wait.wait4,Attendre 4 heures
ui.wait.wait8,Attendre 8 heures
ui.wait.cancel,Annuler
ui.wait.hint,attendre fait passer le temps sans la recuperation d'un lit.
ui.workshop.title,Etabli
ui.workshop.blurb,Les outils sont prets. L'artisanat arrive dans une verticale ulterieure — cet ecran prouve le crochet FurnitureForm.screen (un poste de travail ouvre son interface).
ui.workshop.leave,S'eloigner
ui.saves.title,Charger une partie
ui.saves.empty,Aucune sauvegarde — F5 sauvegarde rapide.
ui.saves.back,Retour
ui.options.title,Options
ui.options.look,Visee
ui.options.mouseSens,Sensibilite souris
ui.options.stickSens,Sensibilite stick
ui.options.deadzone,Zone morte du stick
ui.options.invert,Inverser l'axe Y
ui.options.audio,Audio
ui.options.volume,Volume general
ui.options.general,General
ui.options.language,Langue
ui.options.bindings,Commandes
ui.options.captureBanner,Appuyez sur une touche ou un bouton... (Echap annule)
ui.options.rebindHint,Cliquez une action pour la reassigner.
ui.options.back,Retour
ui.options.on,Oui
ui.options.off,Non
ui.options.action.attack,Attaquer
ui.options.action.block,Parer
ui.options.action.drawSheathe,Degainer / rengainer
ui.options.action.sneak,Furtivite
ui.options.action.sprintDodge,Sprint / esquive
ui.options.action.jump,Sauter
ui.options.action.interact,Interagir
ui.options.action.inventory,Inventaire
ui.options.action.journal,Journal
ui.options.action.wait,Attendre
ui.options.action.map,Carte
ui.options.action.pause,Pause
ui.map.title,Carte
ui.map.close,Fermer
ui.map.interior,Vous êtes à l'intérieur — la carte montre le monde du dehors.
prompt.heal,[E] Soigner {} (potion)
prompt.heal.name,votre allié
follower.noPotion,Vous n'avez aucun objet de soin.
follower.revived,{} se relève.
follower.died,{} a succombé à ses blessures.
follower.convalescence,{} rentre se soigner ({} h).
follower.status,"{} : santé {}%, {} blessure(s), repos {} h"
follower.perkLearned,Vous apprenez : {}.
follower.perkNone,{} n'a plus rien à vous apprendre.
ui.recruit.title,Aptitudes
ui.recruit.class,Classe : {}
ui.recruit.level,Niveau {}
ui.recruit.affinity,Affinité {}
ui.recruit.health,Santé {} / {}
ui.recruit.energy,Énergie {} / {}
ui.recruit.essence,Essence {} / {}
ui.recruit.close,Fermer
ui.attr.strength,Force
ui.attr.constitution,Constitution
ui.attr.grace,Grâce
ui.attr.dexterity,Dextérité
ui.attr.alacrity,Alacrité
ui.attr.perception,Perception
ui.attr.charisma,Charisme
ui.attr.ego,Ego
ui.attr.insight,Clairvoyance
prompt.gear, — [F] Équipement
follower.gearRefused,{} refuse que vous touchiez à son équipement.
follower.gearTooHeavy,{} ne peut pas porter davantage.
follower.unremovable,"C'est l'équipement de base de {} — il le garde."
follower.autoEquip,{} s'équipe : {}
follower.forgeUpgraded,L'équipement de {} a été amélioré à la forge.
follower.forgeNothing,{} n'a rien à améliorer.
prompt.homage,[E] Se recueillir sur {}
prompt.homage.name,la tombe
prompt.grave, — [F] Dépôt
prompt.bury, — [F] Enterrer
follower.homage,Vous vous recueillez sur la tombe de {}.
follower.homage.unknown,Vous vous recueillez un instant.
follower.buried,{} repose ici désormais.
follower.buryNone,Personne à enterrer.
follower.partyFull,Votre groupe est au complet — {} ne peut pas vous suivre.
follower.says,{} : {}
follower.partyFollow,Le groupe vous suit.
follower.partyStay,Le groupe reste sur place.
follower.partyAttack,Le groupe attaque votre cible.
follower.partyNoTarget,"Le groupe cherche votre cible, sans la trouver."
follower.partyDefend,Le groupe se tient prêt à vous défendre.
follower.contractShort,"{} demande {} pièces d'or pour la route — il vous en manque."
follower.contractHired,"{} entre à votre service : {} jours pour {} pièces d'or."
follower.contractRenewed,"Contrat prolongé : {} reste {} jours de plus pour {} pièces d'or."
follower.contractWarning,Le contrat de {} s'achève dans {} h.
follower.contractOver,Le contrat de {} est terminé — il rentre chez lui.
prompt.mount,[E] Monter {}
prompt.mount.name,la monture
mount.hint,Appuyez encore sur E pour descendre.
